PlayerCode,Name,Name clean,Rating,Stars,First,Last,fuzzy_key
200572,Henry Melton,Henry Melton,0.9727,4,Henry,Melton,melnrytonhen
200573,Roy Upchurch,Roy Upchurch,0.9711,4,Roy,Upchurch,upcroyrchroy
200574,Bryan Evans,Bryan Evans,0.9711,4,Bryan,Evans,evayanansbry
200575,Spencer Adkins,Spencer Adkins,0.9705,4,Spencer,Adkins,adkcerinsspe
200576,Phillip Dillard,Phillip Dillard,0.9699,4,Phillip,Dillard,dillipardphi
200577,Josh McNeil,Josh McNeil,0.9693,4,Josh,McNeil,mcnosheiljos
200578,Eric Huggins,Eric Huggins,0.9691,4,Eric,Huggins,hugricinseri
200579,Everette Brown,Everette Brown,0.9691,4,Everette,Brown,brotteowneve
200580,O.J. Murdock,OJ Murdock,0.9679,4,OJ,Murdock,murojockoj
200581,Michael Shumard,Michael Shumard,0.9679,4,Michael,Shumard,shuaelardmic
200582,Anthony Felder,Anthony Felder,0.9677,4,Anthony,Felder,felonyderant
200583,Courtney Harris,Courtney Harris,0.9675,4,Courtney,Harris,harneyriscou
200584,Cory Zirbel,Cory Zirbel,0.9671,4,Cory,Zirbel,zirorybelcor
200585,Carlos Thomas,Carlos Thomas,0.9665,4,Carlos,Thomas,tholosmascar
200586,Jake Christensen,Jake Christensen,0.9647,4,Jake,Christensen,chrakesenjak
200587,Chris Keys,Chris Keys,0.9639,4,Chris,Keys,keyriseyschr
200588,Aaron Ware,Aaron Ware,0.9635,4,Aaron,Ware,warronareaar
200589,Nic Harris,Nic Harris,0.9631,4,Nic,Harris,harnicrisnic
200590,Deveon Simmons,Deveon Simmons,0.9631,4,Deveon,Simmons,simeononsdev
200591,Paul Freeney,Paul Freeney,0.9622,4,Paul,Freeney,freaulneypau
200592,Terrance Taylor,Terrance Taylor,0.9618,4,Terrance,Taylor,tayncelorter
200593,Kalvin Bailey,Kalvin Bailey,0.9614,4,Kalvin,Bailey,baivinleykal
200594,James McKinney,James McKinney,0.9612,4,James,McKinney,mckmesneyjam
200595,Montario Hardesty,Montario Hardesty,0.9602,4,Montario,Hardesty,harriostymon
200596,Cary Harris,Cary Harris,0.9507,4,Cary,Harris,hararyriscar
200597,Matt Reynolds,Matt Reynolds,0.9503,4,Matt,Reynolds,reyattldsmat
200598,Josh Portis,Josh Portis,0.9501,4,Josh,Portis,poroshtisjos
200599,Kaluka Maiava,Kaluka Maiava,0.9469,4,Kaluka,Maiava,maiukaavakal
2005100,D.J. Hord,DJ Hord,0.944,4,DJ,Hord,hordjorddj
2005101,Jerome Hayes,Jerome Hayes,0.9436,4,Jerome,Hayes,hayomeyesjer
2005102,Darius Dewberry,Darius Dewberry,0.9424,4,Darius,Dewberry,dewiusrrydar
2005103,Rafael Eubanks,Rafael Eubanks,0.9422,4,Rafael,Eubanks,eubaelnksraf
2005104,Kyle Moore,Kyle Moore,0.9422,4,Kyle,Moore,mooyleorekyl
2005105,James Davis,James Davis,0.9418,4,James,Davis,davmesvisjam
2005106,Aleksey Lanis,Aleksey Lanis,0.9414,4,Aleksey,Lanis,lanseynisale
2005107,Vince Oghobaase,Vince Oghobaase,0.941,4,Vince,Oghobaase,oghnceasevin
2005108,R.J. Jackson,RJ Jackson,0.9369,4,RJ,Jackson,jacrjsonrj
2005109,Raymond Henderson,Raymond Henderson,0.9367,4,Raymond,Henderson,henondsonray
2005110,J.B. Paxson,JB Paxson,0.9361,4,JB,Paxson,paxjbsonjb
2005111,Earl Heyman,Earl Heyman,0.9341,4,Earl,Heyman,heyarlmanear
2005112,Christopher Brown,Christopher Brown,0.9333,4,Christopher,Brown,broherownchr
2005113,Michael Ray Garvin,Michael Ray Garvin,0.9331,4,Michael,Ray Garvin,rayaelvinmic
2005114,Pat Sheil,Pat Sheil,0.9323,4,Pat,Sheil,shepateilpat
2005115,Shawn Oatis,Shawn Oatis,0.9319,4,Shawn,Oatis,oatawntissha
2005116,Rendrick Taylor,Rendrick Taylor,0.9315,4,Rendrick,Taylor,tayicklorren
2005117,Syd'Quan Thompson,SydQuan Thompson,0.9313,4,SydQuan,Thompson,thouansonsyd
2005118,Mike Brown,Mike Brown,0.9309,4,Mike,Brown,broikeownmik
2005119,Elijah Hodge,Elijah Hodge,0.9305,4,Elijah,Hodge,hodjahdgeeli
2005120,Jonathan Hannah,Jonathan Hannah,0.9303,4,Jonathan,Hannah,hanhannahjon
2005121,Darry Beckwith,Darry Beckwith,0.9222,4,Darry,Beckwith,becrryithdar
2005122,J.C. Neal,JC Neal,0.9222,4,JC,Neal,neajcealjc
2005123,Clarence Ward,Clarence Ward,0.9222,4,Clarence,Ward,warnceardcla
2005124,Ike Whitaker,Ike Whitaker,0.9222,4,Ike,Whitaker,whiikekerike
2005125,Lamont Robinson,Lamont Robinson,0.9222,4,Lamont,Robinson,robontsonlam
2005126,Kendrick Stewart,Kendrick Stewart,0.9222,4,Kendrick,Stewart,steickartken
2005127,Jeff Owens,Jeff Owens,0.9222,4,Jeff,Owens,oweeffensjef
2005128,Will Powers,Will Powers,0.9222,4,Will,Powers,powillerswil
2005129,Russell Ball,Russell Ball,0.9222,4,Russell,Ball,balellallrus
2005130,Darrius Heyward-Bey,Darrius HeywardBey,0.9222,4,Darrius,HeywardBey,heyiusbeydar
2005131,Maurice Greer,Maurice Greer,0.9222,4,Maurice,Greer,greiceeermau
2005132,Alex Daniels,Alex Daniels,0.9222,4,Alex,Daniels,danlexelsale
2005133,Matt Kopa,Matt Kopa,0.9222,4,Matt,Kopa,kopattopamat
2005134,Derek Shaw,Derek Shaw,0.9222,4,Derek,Shaw,sharekhawder
2005135,Randy Phillips,Randy Phillips,0.9222,4,Randy,Phillips,phindyipsran
2005136,Louis Ellis,Louis Ellis,0.9222,4,Louis,Ellis,elluislislou
2005137,Calvin Wilson,Calvin Wilson,0.9222,4,Calvin,Wilson,wilvinsoncal
2005138,Vic Hall,Vic Hall,0.9222,4,Vic,Hall,halvicallvic
2005139,Willie Tuitama,Willie Tuitama,0.9222,4,Willie,Tuitama,tuilieamawil
2005140,Anthony Wiseman,Anthony Wiseman,0.9222,4,Anthony,Wiseman,wisonymanant
2005141,Zach Potter,Zach Potter,0.9222,4,Zach,Potter,potachterzac
2005142,Harrison Beck,Harrison Beck,0.9222,4,Harrison,Beck,becsoneckhar
2005143,Jermichael Finley,Jermichael Finley,0.9222,4,Jermichael,Finley,finaelleyjer
2005144,Kevin Bemoll,Kevin Bemoll,0.9222,4,Kevin,Bemoll,bemvinollkev
2005145,Mike Davis,Mike Davis,0.9216,4,Mike,Davis,davikevismik
2005146,Tony Wright,Tony Wright,0.921,4,Tony,Wright,wrionyghtton
2005147,Trey Stross,Trey Stross,0.919,4,Trey,Stross,strreyosstre
2005148,Adrian McCovy,Adrian McCovy,0.9111,4,Adrian,McCovy,mccianovyadr
2005149,Walter Nickel,Walter Nickel,0.9,4,Walter,Nickel,nicterkelwal
2005150,B.J. Vickers,BJ Vickers,0.9,4,BJ,Vickers,vicbjersbj
2005151,Tommy Trott,Tommy Trott,0.9,4,Tommy,Trott,trommyotttom
2005152,Cory Lambert,Cory Lambert,0.9,4,Cory,Lambert,lamoryertcor
2005153,Joey Hiben,Joey Hiben,0.9,4,Joey,Hiben,hiboeybenjoe
2005154,Jeremy Childs,Jeremy Childs,0.9,4,Jeremy,Childs,chiemyldsjer
2005155,Todd Cox,Todd Cox,0.9,4,Todd,Cox,coxoddcoxtod
2005156,Kellen Heard,Kellen Heard,0.9,4,Kellen,Heard,healenardkel
2005157,Jodie Richardson,Jodie Richardson,0.9,4,Jodie,Richardson,ricdiesonjod
2005158,Neefy Moffett,Neefy Moffett,0.9,4,Neefy,Moffett,mofefyettnee
2005159,Rodney Picou,Rodney Picou,0.9,4,Rodney,Picou,picneycourod
2005160,Rex Sharpe,Rex Sharpe,0.9,4,Rex,Sharpe,sharexrperex
2005161,Ryan Stamper,Ryan Stamper,0.9,4,Ryan,Stamper,stayanperrya
2005162,Mike Harness,Mike Harness,0.9,4,Mike,Harness,harikeessmik
2005163,Jesse White,Jesse White,0.9,4,Jesse,White,whisseitejes
2005164,Brandon Duncan,Brandon Duncan,0.9,4,Brandon,Duncan,dundoncanbra
2005165,Roderick Battle,Roderick Battle,0.9,4,Roderick,Battle,baticktlerod
2005166,Justin Schifano,Justin Schifano,0.9,4,Justin,Schifano,schtinanojus
2005167,Chris Brooks,Chris Brooks,0.9,4,Chris,Brooks,brorisokschr
2005168,Alex Kanellis,Alex Kanellis,0.9,4,Alex,Kanellis,kanlexlisale
2005169,Mikell Simpson,Mikell Simpson,0.9,4,Mikell,Simpson,simellsonmik
2005170,Lucas Taylor,Lucas Taylor,0.9,4,Lucas,Taylor,taycaslorluc
2005171,Carlton Hill,Carlton Hill,0.9,4,Carlton,Hill,hiltonillcar
2005172,Nyan Boateng,Nyan Boateng,0.9,4,Nyan,Boateng,boayanengnya
2005173,E.J. Savannah,EJ Savannah,0.9,4,EJ,Savannah,savejnahej
2005174,Kyle Reed,Kyle Reed,0.9,4,Kyle,Reed,reeyleeedkyl
2005175,Jon Demps,Jon Demps,0.9,4,Jon,Demps,demjonmpsjon
2005176,Steven Korte,Steven Korte,0.9,4,Steven,Korte,korvenrteste
2005177,Slick Shelley,Slick Shelley,0.9,4,Slick,Shelley,sheickleysli
2005178,Marcus Shavers,Marcus Shavers,0.9,4,Marcus,Shavers,shacusersmar
2005179,Felix Jones,Felix Jones,0.9,4,Felix,Jones,jonlixnesfel
2005180,Antonio Clay,Antonio Clay,0.9,4,Antonio,Clay,claniolayant
2005181,Adam Myers-White,Adam MyersWhite,0.9,4,Adam,MyersWhite,myedamiteada
2005182,Quentin Taylor,Quentin Taylor,0.9,4,Quentin,Taylor,taytinlorque
2005183,Lavar Lobdell,Lavar Lobdell,0.9,4,Lavar,Lobdell,lobvarelllav
2005184,David Moosman,David Moosman,0.9,4,David,Moosman,moovidmandav
2005185,Aaron Lewis,Aaron Lewis,0.9,4,Aaron,Lewis,lewronwisaar
2005186,Marcus Washington,Marcus Washington,0.9,4,Marcus,Washington,wascustonmar
2005187,Gabe McKenzie,Gabe McKenzie,0.9,4,Gabe,McKenzie,mckabeziegab
2005188,McKinner Dixon,McKinner Dixon,0.9,4,McKinner,Dixon,dixnerxonmck
2005189,Howard Morrow,Howard Morrow,0.9,4,Howard,Morrow,morardrowhow
2005190,Marquis Wilson,Marquis Wilson,0.9,4,Marquis,Wilson,wiluissonmar
2005191,J.R. Hasty,JR Hasty,0.9,4,JR,Hasty,hasjrstyjr
2005192,Antonio Robinson,Antonio Robinson,0.9,4,Antonio,Robinson,robniosonant
2005193,David Nelson,David Nelson,0.9,4,David,Nelson,nelvidsondav
2005194,Richie Rich,Richie Rich,0.9,4,Richie,Rich,richieichric
